image_name,image_label
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/101.White_Pelican/White_Pelican_0081_96148.jpg,100
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/101.White_Pelican/White_Pelican_0075_96422.jpg,100
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/101.White_Pelican/White_Pelican_0026_95832.jpg,100
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/101.White_Pelican/White_Pelican_0022_95897.jpg,100
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/101.White_Pelican/White_Pelican_0044_96028.jpg,100
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/102.Western_Wood_Pewee/Western_Wood_Pewee_0072_98035.jpg,101
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/102.Western_Wood_Pewee/Western_Wood_Pewee_0004_98257.jpg,101
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/102.Western_Wood_Pewee/Western_Wood_Pewee_0060_795045.jpg,101
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/102.Western_Wood_Pewee/Western_Wood_Pewee_0039_795063.jpg,101
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/102.Western_Wood_Pewee/Western_Wood_Pewee_0040_795051.jpg,101
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/103.Sayornis/Sayornis_0099_98593.jpg,102
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/103.Sayornis/Sayornis_0133_99129.jpg,102
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/103.Sayornis/Sayornis_0098_98419.jpg,102
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/103.Sayornis/Sayornis_0011_98610.jpg,102
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/103.Sayornis/Sayornis_0114_98976.jpg,102
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/104.American_Pipit/American_Pipit_0037_99954.jpg,103
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/104.American_Pipit/American_Pipit_0067_100237.jpg,103
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/104.American_Pipit/American_Pipit_0019_99810.jpg,103
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/104.American_Pipit/American_Pipit_0058_100218.jpg,103
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/104.American_Pipit/American_Pipit_0113_99939.jpg,103
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/105.Whip_poor_Will/Whip_Poor_Will_0038_100443.jpg,104
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/105.Whip_poor_Will/Whip_Poor_Will_0018_796403.jpg,104
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/105.Whip_poor_Will/Whip_Poor_Will_0013_796439.jpg,104
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/105.Whip_poor_Will/Whip_Poor_Will_0026_100456.jpg,104
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/105.Whip_poor_Will/Whip_Poor_Will_0004_100479.jpg,104
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/106.Horned_Puffin/Horned_Puffin_0004_100733.jpg,105
Caltech-UCSD Birds-200-2011/CUB_200_2011/images/106.Horned_Puffin/Horned_Puffin_0028_100765.jpg,105
